flat,street,postcode
8,BRIAR CRESCENT,EX2 6DU
,COWICK STREET,EX4 1AP
45,FLEMING WAY,EX2 4TP
110,FORE STREET,EX4 3JF
50,WARDREW ROAD,EX4 1HA
,SOUTH STREET,EX1 1DZ
59,SOUTH STREET,EX1 1EE
16,LONGBROOK TERRACE,EX4 4EU
21,LONGBROOK TERRACE,EX4 4EU
181,SIDWELL STREET,EX4 6RE
2,SOUTH STREET,EX1 1DZ
,COOMBE STREET,EX1 1DB
,COOMBE STREET,EX1 1DB
,KING WILLIAM STREET,EX4 6PD
6,LOWER AVENUE,EX1 2PR
,SALTERS ROAD,EX2 5JG
,COMMERCIAL ROAD,EX2 4EE
,ST. DAVIDS HILL,EX4 4DP
,ST. DAVIDS HILL,EX4 4DP
7,CARPENTER CLOSE,EX4 3BQ
33,CASTLE MOUNT,EX4 4JW
63,POWLESLAND ROAD,EX2 8RS
,TADDYFORDE ESTATE,EX4 4AT
2,ST. MATTHEWS COURT,EX1 2NR
50,TOPSHAM ROAD,EX2 4NF
,ST. DAVIDS HILL,EX4 3RD
20,OLD TIVERTON ROAD,EX4 6LG
7,PORTLAND STREET,EX1 2EG
22,ROLLESTONE CRESCENT,EX4 5EB
104,MOUNT PLEASANT ROAD,EX4 7AB
21,NORTHERNHAY STREET,EX4 3EL
,BELLE ISLE DRIVE,EX2 4RY
,BUDDLE LANE,EX4 1JB
25,ST. LEONARDS ROAD,EX2 4LA
2,MOUNT RADFORD SQUARE,EX2 4EP
102,JOHN LEVERS WAY,EX4 1DZ
26,WYKES ROAD,EX1 2UG
,WYNFORD ROAD,EX4 7ER
,FARM HILL,EX4 2LR
,BUTTS ROAD,EX2 5TQ
6,PAVILION PLACE,EX2 4HA
36,LAVENDER ROAD,EX4 2PT
,BUTTS ROAD,EX2 5JW
,BUTTS ROAD,EX2 5JW
1,WELLSWOOD GARDENS,EX4 1RH
,MEDLEY COURT,EX4 2QF
27,VICTORIA PARK ROAD,EX2 4NT
13,VAUGHAN RISE,EX1 3UD
80,VAUGHAN ROAD,EX1 3LB
,COMMERCIAL ROAD,EX2 4DZ
38,WINCHESTER AVENUE,EX4 2DJ
15,BISHOP WESTALL ROAD,EX2 6NH
,BISHOP WESTALL ROAD,EX2 6NJ
,WILLEYS AVENUE,EX2 8EJ
32,OKEHAMPTON STREET,EX4 1DY
,DEVON ROAD,EX4 7BR
3,WELL OAK PARK,EX2 5BB
,MICHAEL BROWNING WAY,EX2 8DD
,LYNDHURST ROAD,EX2 4NX
,COMMERCIAL ROAD,EX2 4DX
33,UPLANDS DRIVE,EX4 7JZ
68,DANES ROAD,EX4 4LS
1,CASTLE MOUNT,EX4 4JW
,ALPHIN BROOK ROAD,EX2 8RG
,OXFORD ROAD,EX4 6QX
11,MASTERSON STREET,EX2 5GR
135,ST. KATHERINES ROAD,EX4 7JJ
10,SURBITON CRESCENT,EX4 1PB
26,WEST GROVE ROAD,EX2 4LU
,COMMERCIAL ROAD,EX2 4DX
,SUMMERLAND STREET,EX1 2AT
,THE QUAY,EX2 4AN
7,CRAWFORD GARDENS,EX2 8HQ
,ST. DAVIDS HILL,EX4 3RA
4,FORE STREET,EX2 9RQ
,EXWICK ROAD,EX4 2BJ
19,MILDMAY CLOSE,EX4 2BD
101,MINCINGLAKE ROAD,EX4 7DU
4,HIGHER BARLEY MOUNT,EX4 1RY
17,KING STREET,EX1 1DG
,LYNDHURST ROAD,EX2 4PA
33,BARLEY MOUNT,EX4 1RP
158,MONKS ROAD,EX4 7BQ
45,WONFORD ROAD,EX2 4UD
,BARRACK ROAD,EX2 6EH
4,WINDERMERE CLOSE,EX4 2QD
41,WARDREW ROAD,EX4 1HA
,STATION ROAD,EX4 2FD
3,SOUTHERNHAY WEST,EX1 1JG
4,MEDLEY COURT,EX4 2QN
21,EXE STREET,EX4 3HA
2,ST. JAMES TERRACE,EX4 6QH
,VAUGHAN ROAD,EX1 3JW
27,MAGDALEN ROAD,EX2 4TA
91,COLLINS ROAD,EX4 5DE
11,DUNVEGAN CLOSE,EX4 4AF
,NEW NORTH ROAD,EX4 4JN
,NEW NORTH ROAD,EX4 4JN
39,MARSH GREEN ROAD WEST,EX2 8PN
7,HOKER ROAD,EX2 5HR
24,HOKER ROAD,EX2 5HR
,SOUTHGATE,EX2 4DA
8,WHIPTON ROAD,EX4 8AT
50,WESTMINSTER ROAD,EX4 2LS
179,COWICK STREET,EX4 1AD
,FORE STREET,EX4 3JQ
54,HIGH STREET,EX4 3DJ
9,WIDGERY ROAD,EX4 8AU
74,QUEEN STREET,EX4 3RX
,ALICE TEMPLER CLOSE,EX2 6AE
5,MILL ROAD,EX2 6LH
21,LAVENDER ROAD,EX4 2PS
,BISHOP WESTALL ROAD,EX2 6NJ
89,VAUGHAN ROAD,EX1 3JY
19,FLEMING WAY,EX2 4SE
143,FORE STREET,EX4 3AN
,NORTHERNHAY PLACE,EX4 3QL
154,MONKS ROAD,EX4 7BQ
9,MONTEREY GARDENS,EX4 5EN
16,TENNYSON AVENUE,EX2 6BS
23,BONHAY ROAD,EX4 4BP
3,LADYSMITH ROAD,EX1 2PU
22,LUCAS AVENUE,EX4 6LZ
23,MONT LE GRAND,EX1 2PA
73,WARDREW ROAD,EX4 1HA
,BONHAY ROAD,EX4 3AA
23,CECIL ROAD,EX2 9AQ
24,CODRINGTON STREET,EX1 2BU
94,WELLINGTON ROAD,EX2 9DX
33,WELLPARK CLOSE,EX4 1TS
,WHIPTON VILLAGE ROAD,EX4 8AW
10,WHITCHURCH AVENUE,EX2 5NU
182,COWICK STREET,EX4 1AA
89,MAGDALEN ROAD,EX2 4TG
,LOWER NORTH STREET,EX4 3ET
1,HIGHER SUMMERLANDS,EX1 2LW
82,GUINNESS LANE,EX4 2LP
6,HILL LANE,EX1 3JP
,BULLER ROAD,EX4 1BJ
28,EXCALIBUR CLOSE,EX4 8LH
58,GREYFRIARS ROAD,EX4 7BS
27,WELLINGTON ROAD,EX2 9DU
,EXE STREET,EX4 3HF
14,CASTLE MOUNT,EX4 4JW
4,CATHEDRAL YARD,EX1 1HJ
3,PAINTERS COURT,EX2 8PP
,ALPHIN BROOK ROAD,EX2 8RG
,NEW NORTH ROAD,EX4 4HL
41,WONFORD ROAD,EX2 4PQ
,TOPSHAM ROAD,EX2 6HP
5,MOUNT DINHAM,EX4 4EB
27,FLEMING WAY,EX2 4SE
60,FLEMING WAY,EX2 4TP
92,HOWELL ROAD,EX4 4LN
7,COLLETON CRESCENT,EX2 4DG
14,MARY ARCHES STREET,EX4 3AZ
27,WILLOW WALK,EX4 6RP
1,SOUTH STREET,EX1 1DZ
5,SIVELL PLACE,EX2 5EX
24,RICHMOND ROAD,EX4 4JF
11,FRIARS WALK,EX2 4AY
,RADNOR PLACE,EX2 4EH
17,EXWICK COURT,EX4 2RE
12,MANSELL COPSE WALK,EX2 5GU
17,MANSELL COPSE WALK,EX2 5GU
20,MASTERSON STREET,EX2 5GR
,GROSVENOR PLACE,EX1 2JP
20,RICHMOND ROAD,EX4 4JA
36,TUDOR STREET,EX4 3BT
4,BROOKLANDS,EX2 6GB
15,FOX ROAD,EX4 8NB
8,BROADMEADOW AVENUE,EX4 1JQ
41,ELIZABETH AVENUE,EX4 7EQ
2,GARETH CRESCENT,EX4 9EJ
28,PRIORY ROAD,EX4 7AW
80,HOWELL ROAD,EX4 4LZ
17,LINNET CLOSE,EX4 5HF
42,STUART ROAD,EX1 2SZ
10,SOMERSET AVENUE,EX4 1LX
1,CALTHORPE ROAD,EX4 7JS
23,MAGDALEN ROAD,EX2 4TA
6,BISHOP WESTALL ROAD,EX2 6NH
,SYLVAN ROAD,EX4 6EW
,WYNFORD ROAD,EX4 7ER
,WINDERMERE CLOSE,EX4 2QD
38,WESTMINSTER ROAD,EX4 2LS
9,WHIPTON BARTON ROAD,EX1 3LN
164,FORE STREET,EX4 3AT
,WEST AVENUE,EX4 4SD
11,CLIFTON HILL,EX1 2DL
,SIDWELL STREET,EX4 6RT
207,MONKS ROAD,EX4 7BL
41,KING STEPHEN CLOSE,EX4 4LX
1,KINGDOM MEWS,EX4 4BU
,MILL YARD,EX2 6LL
49,MASTERSON STREET,EX2 5GR
10,CHANDLERS WALK,EX2 8BA
42,CHANDLERS WALK,EX2 8BA
16,WIDECOMBE WAY,EX4 5BZ
93,SALTERS ROAD,EX2 5JE
,WONFORD STREET,EX2 5EF
,WONFORD STREET,EX2 5EF
,MAGDALEN ROAD,EX2 4SY
25,MAGDALEN ROAD,EX2 4TA
,ST. DAVIDS HILL,EX4 3RD
55,MAGDALEN ROAD,EX2 4TA
8,KINGDOM MEWS,EX4 4BU
18,LOCKFIELD COURT,EX2 8UZ
,BUTTS ROAD,EX2 5TQ
,BUTTS ROAD,EX2 5TQ
,BUTTS ROAD,EX2 5TQ
67,SOUTH STREET,EX1 1EE
19,LAVENDER ROAD,EX4 2PS
14,PRINCESSHAY SQUARE,EX1 1LR
,EXE STREET,EX4 3HF
3,BARING CRESCENT,EX1 1TL
87,SOUTH STREET,EX1 1EQ
,PINWOOD LANE,EX4 8NQ
,MARSH GREEN ROAD NORTH,EX2 8NY
,COMMERCIAL ROAD,EX2 4AD
27,MONTEREY GARDENS,EX4 5EN
3,HAVEN ROAD,EX2 8BS
2,GEORGE STREET,EX1 1BU
13,VICTORIA PARK ROAD,EX2 4NT
53,WOODBURY VIEW,EX2 9JQ
77,LONGBROOK STREET,EX4 6AU
36,KING STREET,EX1 1BJ
,HAVEN ROAD,EX2 8GP
5,HORSEGUARDS,EX4 4UU
8,HORSEGUARDS,EX4 4UX
37,KING STEPHEN CLOSE,EX4 4LX
43,KING STEPHEN CLOSE,EX4 4LX
,FLEMING WAY,EX2 4SB
,FRIERNHAY STREET,EX4 3DR
10,OLD TIVERTON ROAD,EX4 6ND
8,ORWELL GARTH,EX4 8DX
,DRYDEN ROAD,EX2 5AG
64,FLEMING WAY,EX2 4TP
156,BEACON LANE,EX4 8LX
,BUTTS ROAD,EX2 5BE
1,WESLEY CLOSE,EX2 9EQ
1,BAGSHOT AVENUE,EX2 4RN
28,NEW NORTH ROAD,EX4 4HF
,THE QUAY,EX2 4AN
20,CELIA CRESCENT,EX4 9DR
20,COLERIDGE ROAD,EX2 9BZ
27,COLLEGE ROAD,EX1 1TG
7,COLLETON MEWS,EX2 4AH
5,COLLETON ROW,EX2 4AT
16,DUNSFORD GARDENS,EX4 1LN
,MARKET STREET,EX1 1DL
24,BONHAY ROAD,EX4 4BP
,ST. DAVIDS HILL,EX4 3RA
4,WENDOVER WAY,EX2 6JG
16,PENNSYLVANIA ROAD,EX4 6BH
11,LEIGHTON TERRACE,EX4 6AZ
15,SOUTH STREET,EX1 1DZ
1,TRURO DRIVE,EX4 2DY
47,UNION ROAD,EX4 6HU
33,UNION STREET,EX2 9BA
17,WELL STREET,EX4 6QR
,COWICK STREET,EX4 1AA
46,FORE STREET,EX1 2QL
,GENEVA CLOSE,EX2 4NH
107,ALPHINGTON ROAD,EX2 8JD
66,FLEMING WAY,EX2 4TP
11,KNOWLE DRIVE,EX4 2DF
44,KNOWLE DRIVE,EX4 2DG
,WYKES ROAD,EX1 2UG
,NEW NORTH ROAD,EX4 4HG
23,WILLEYS AVENUE,EX2 8EP
50,WILLEYS AVENUE,EX2 8EP
102,SIDWELL STREET,EX4 6RF
,WONFORD STREET,EX2 5DR
,GLENTHORNE ROAD,EX4 4QU
,KINNERTON WAY,EX4 2EZ
8,KINNERTON WAY,EX4 2PR
17,LISTER CLOSE,EX2 4SD
9,SILVER TERRACE,EX4 4JE
,FORE STREET,EX1 2QL
34,BARTHOLOMEW STREET EAST,EX4 3BH
3,BARTHOLOMEW TERRACE,EX4 3BW
28,MOUNT DINHAM,EX4 4EB
20,LOCKFIELD COURT,EX2 8UZ
,BUTTS ROAD,EX2 5TQ
,BUTTS ROAD,EX2 5TQ
,BUTTS ROAD,EX2 5TQ
11,CHANDLERS WALK,EX2 8BA
,COOMBE STREET,EX1 1DB
,WYNFORD ROAD,EX4 7ES
3,YEW TREE CLOSE,EX4 5EH
88,UNION ROAD,EX4 6HT
106,UNION ROAD,EX4 6HS
,NEW NORTH ROAD,EX4 4HG
40,DENMARK ROAD,EX1 1SE
,ST. DAVIDS HILL,EX4 3RD
10,UPLANDS DRIVE,EX4 7JZ
8,COOMBE STREET,EX1 1DB
6,ROMAN WALK,EX1 1GN
3,ROMAN WALK,EX1 1GP
,LYNDHURST ROAD,EX2 4NX
50,BUDDLE LANE,EX4 1JH
91,WARDREW ROAD,EX4 1EZ
18,CATHEDRAL YARD,EX1 1HB
56,OLD TIVERTON ROAD,EX4 6NG
83,FORE STREET,EX4 3HR
45,KING STREET,EX1 1BG
,ACLAND ROAD,EX4 6PB
1,WOODBINE TERRACE,EX4 4LJ
7,WOODVILLE ROAD,EX2 8JW
22,WONFORD ROAD,EX2 4EQ
82,LONGBROOK STREET,EX4 6AP
,BUDLAKE ROAD,EX2 8PY
14,VICTORIA STREET,EX4 6JQ
71,UNION ROAD,EX4 6HT
18,PRESTON STREET,EX1 1DJ
,THE QUAY,EX2 4AP
39,MASTERSON STREET,EX2 5GR
97,ST. KATHERINES ROAD,EX4 7JW
21,UNION STREET,EX2 9BB
2,HEAVITREE PARK,EX1 3BP
38,POWDERHAM CRESCENT,EX4 6BZ
,HEAVITREE ROAD,EX1 2LD
7,NORTH AVENUE,EX1 2DU
28,BONVILLE CLOSE,EX1 3JS
33,BONVILLE CLOSE,EX1 3JS
64,BOVEMOORS LANE,EX2 5BP
,CHAPEL ROAD,EX2 8ST
,FLOWERPOT LANE,EX4 1EA
7,SPRUCE CLOSE,EX4 9JU
14,ST. ALBANS CLOSE,EX4 2NE
43,BOWHAY LANE,EX4 1PF
,SYLVAN ROAD,EX4 6EW
,,EX2 9RB
122,FORE STREET,EX1 2RS
2,COLLEGE ROAD,EX1 1TE
,COMMERCIAL ROAD,EX2 4DX
13,PROSPECT PLACE,EX4 1JA
,BOVEMOORS LANE,EX2 5DS
123,CHANCELLORS WAY,EX4 9DX
,WATER LANE,EX2 8BG
69,WONFORD STREET,EX2 5DF
14,RALEIGH ROAD,EX1 1TQ
20,PAVILION PLACE,EX2 4HR
,ROBERTS ROAD,EX2 4HB
,FRIERNHAY STREET,EX4 3AR
,WYNFORD ROAD,EX4 7ES
,BEACON LANE,EX4 8LU
34,KINNERTON WAY,EX4 2NA
17,VICTORIA STREET,EX4 6JQ
82,VICTORIA STREET,EX4 6JG
,LONGBROOK TERRACE,EX4 4EU
75,COLLINS ROAD,EX4 5DE
,DUNSFORD ROAD,EX2 9PN
,FORE STREET,EX1 2RR
23,WARDREW ROAD,EX4 1HB
1,WHIPTON LANE,EX1 3DN
33,POLSLOE ROAD,EX1 2HW
23,ST. THOMAS CENTRE,EX4 1DG
15,QUEENS TERRACE,EX4 4HR
58,FORE STREET,EX1 2RR
90,FORE STREET,EX1 2RR
,NEW NORTH ROAD,EX4 4BZ
,RED LION LANE,EX1 2FG
59,COATES ROAD,EX2 5RW
36,DORSET AVENUE,EX4 1NB
23,BARLEY MOUNT,EX4 1RP
6,WYNDHAM AVENUE,EX1 2PQ
,SHAKESPEARE ROAD,EX2 6BU
,BARTHOLOMEW STREET WEST,EX4 3AG
,COWICK STREET,EX4 1FL
,WESTERN WAY,EX1 2ZS
48,QUEEN STREET,EX4 3SR
188,HAMLIN LANE,EX1 2SH
54,EBRINGTON ROAD,EX2 8JG
25,CHANCELLORS WAY,EX4 9DP
12,RUSHFORTH PLACE,EX4 2NU
46,COWICK HILL,EX2 9NG
107,MERRIVALE ROAD,EX4 1PT
8,CLIFTON ROAD,EX1 2BS
4,DENMARK ROAD,EX1 1SL
,HEAVITREE ROAD,EX1 2LY
13,FLOWERPOT LANE,EX4 1DH
9,NEW NORTH ROAD,EX4 4HF
,WELLINGTON ROAD,EX2 9DY
4,VAUGHAN ROAD,EX1 3DH
,EXE STREET,EX4 3HF
14,VICTOR STREET,EX1 3BT
,FORE STREET,EX4 3AN
5,WAYLAND AVENUE,EX2 4PR
40,WOODVILLE ROAD,EX2 8JW
,LONGBROOK TERRACE,EX4 4EU
126,ST. KATHERINES ROAD,EX4 7JJ
10,WATSON PLACE,EX2 4SF
,NEW NORTH ROAD,EX4 4HG
1,BISHOP WESTALL ROAD,EX2 6NH
16,HALDON ROAD,EX4 4DZ
,PRINCE OF WALES ROAD,EX4 4PR
24,ST. DAVIDS HILL,EX4 4DT
28,WOODAH ROAD,EX4 1ET
4,WOODBURY VIEW,EX2 9JQ
49,WOODBURY VIEW,EX2 9JQ
9,EXWICK COURT,EX4 2RE
36,LADYSMITH ROAD,EX1 2PU
43,PRINCE CHARLES ROAD,EX4 7EF
11,PRINCES STREET EAST,EX2 9ET
,COOMBE STREET,EX1 1DB
,COWICK STREET,EX4 1AB
2,THE HALT,EX2 8FX
,VERNEY STREET,EX1 2AW
,RUTHERFORD STREET,EX2 5GZ
26,WHITCHURCH AVENUE,EX2 5NT
86,VAUGHAN ROAD,EX1 3LB
,HONITON ROAD,EX1 3EB
,COMMERCIAL ROAD,EX2 4DZ
,OLD TIVERTON ROAD,EX4 6LQ
39,WEST GROVE ROAD,EX2 4LU
1,WHITEFRIARS WALK,EX4 7BT
,BOVEMOORS LANE,EX2 5DS
,QUEEN STREET,EX4 3SJ
3,GLENTHORNE ROAD,EX4 4XA
,ST. DAVIDS HILL,EX4 4DP
87,ROUND TABLE MEET,EX4 8LG
2,ST. DAVIDS HILL,EX4 3RG
18,ST. JOHNS ROAD,EX1 2HR
,COMMERCIAL ROAD,EX2 4EB
36,THORNTON HILL,EX4 4NS
,WATER LANE,EX2 8BD
,WATER LANE,EX2 8BD
5,WATERLOO ROAD,EX2 9DT
3,WOODBURY VIEW,EX2 9JQ
33,BARNFIELD ROAD,EX1 1RX
10,PAUL STREET,EX4 3TT
6,PAUL STREET,EX4 3TT
,NORTH STREET,EX1 2RP
4,WATSON PLACE,EX2 4SF
,ALPHIN BROOK ROAD,EX2 8RG
,NEWTOWN CLOSE,EX1 2EU
111,ST. KATHERINES ROAD,EX4 7JJ
,BARRACK ROAD,EX2 5EE
,WONFORD STREET,EX2 5EF
,TUDOR STREET,EX4 3DW
,TUDOR STREET,EX4 3DW
27,VICTORIA PARK ROAD,EX2 4NT
,BEECH AVENUE,EX4 6HE
,ALPHINGTON STREET,EX2 8AT
10,MOUNT PLEASANT ROAD,EX4 7AB
16,HAYES BARTON COURT,EX4 1DJ
,SHAKESPEARE ROAD,EX2 6BU
,COMMERCIAL ROAD,EX2 4AD
,IDE LANE,EX2 8UP
35,MAY STREET,EX4 6LL
99,GRAS LAWN,EX2 4ST
1,HAREFIELD CLOSE,EX4 4AL
12,HAVEN CLOSE,EX2 8EA
,FLOWERPOT LANE,EX4 1EA
,SUMMER LANE,EX4 8AH
21,UNION ROAD,EX4 6HX
123,ALPHINGTON ROAD,EX2 8JD
5,VAUGHAN RISE,EX1 3UD
136,VAUGHAN ROAD,EX1 3JN
118,WHIPTON LANE,EX1 3DL
1,WHITCHURCH AVENUE,EX2 5NT
26,GREYFRIARS ROAD,EX4 7BS
34,GREYFRIARS ROAD,EX4 7BS
10,WHITEFRIARS WALK,EX4 7BT
,THE QUAY,EX2 4AN
9,LONGBROOK TERRACE,EX4 4EU
1,CATHEDRAL YARD,EX1 1HJ
12,WEST AVENUE,EX4 4SD
41,WONFORD STREET,EX2 5DQ
1,WOODAH ROAD,EX4 1ET
,PALACE GATE,EX1 1HX
,BYSTOCK TERRACE,EX4 4HY
17,POWLESLAND ROAD,EX2 8RS
1,HONITON ROAD,EX1 3ER
2,PENNSYLVANIA ROAD,EX4 5EP
,NEW NORTH ROAD,EX4 4HL
22,EXCALIBUR CLOSE,EX4 8LH
32,LAVENDER ROAD,EX4 2PT
83,MOUNT PLEASANT ROAD,EX4 7AE
12,TORONTO ROAD,EX4 6LE
148,WARDREW ROAD,EX4 1EY
,HAMLIN GARDENS,EX1 3AB
,HELE ROAD,EX4 4JS
36,BURNTHOUSE LANE,EX2 6EJ
3,PALACE GATE,EX1 1JA
,NEWTOWN CLOSE,EX1 2EU
,NEW NORTH ROAD,EX4 4AJ
,NEWTOWN CLOSE,EX1 2EU
,LONGBROOK TERRACE,EX4 4EL
18,WHITEBEAM CLOSE,EX4 9JY
,MOUNT RADFORD CRESCENT,EX2 4ER
,FRIARS WALK,EX2 4AY
4,COFTON ROAD,EX2 8QW
3,COTTEY CRESCENT,EX4 9DT
272,PINHOE ROAD,EX4 7JQ
80,WARDREW ROAD,EX4 1HA
17,BISHOP WESTALL ROAD,EX2 6NN
24,OLD TIVERTON ROAD,EX4 6LG
,WATER LANE,EX2 8BD
13,WATERLOO ROAD,EX2 9DT
8,WONFORD ROAD,EX2 4EQ
24,WEST STREET,EX1 1BA
144,WARDREW ROAD,EX4 1EY
1,WINDSOR CLOSE,EX4 4BA
12,BISHOP WESTALL ROAD,EX2 6NN
27,BISHOP WESTALL ROAD,EX2 6NN
72,WOODWATER LANE,EX2 5NP
33,WOODVILLE ROAD,EX2 8JW
,WOODWATER LANE,EX2 5JY
67,WOODWATER LANE,EX2 5NQ
99,WOODWATER LANE,EX2 5NP
22,TUDOR STREET,EX4 3BT
,NEW NORTH ROAD,EX4 4HL
15,ST. DAVIDS HILL,EX4 3RG
39,KING STEPHEN CLOSE,EX4 4LX
5,ST. MATTHEWS COURT,EX1 2NR
,FORE STREET,EX4 3AT
,DRYDEN ROAD,EX2 5JJ
52,VICTOR STREET,EX1 3BU
45,VICTORIA PARK ROAD,EX2 4NU
8,LISTER CLOSE,EX2 4SD
66,WHIPTON LANE,EX1 3DN
116,WHIPTON LANE,EX1 3DJ
47,HIGH STREET,EX4 3DJ
74,WIDGERY ROAD,EX4 8AX
89,MAGDALEN ROAD,EX2 4TG
,EXE STREET,EX4 3HN
11,LOCKFIELD COURT,EX2 8UZ
,CLIFTON HILL,EX1 2EL
,WINDERMERE CLOSE,EX4 2QD
23,WIDGERY ROAD,EX4 8AU
,MAGDALEN ROAD,EX2 4SU
,EXE STREET,EX4 3HF
80,BARRACK ROAD,EX2 5ED
9,BARTHOLOMEW STREET WEST,EX4 3AJ
,NEW NORTH ROAD,EX4 4HG
8,PINHOE ROAD,EX4 7HL
,VERNEY STREET,EX1 2AW
,FORE STREET,EX4 3JQ
8,ARCHIBALD ROAD,EX1 1SA
32,DENMARK ROAD,EX1 1SE
6,GORDON'S PLACE,EX1 2RF
108,GRAS LAWN,EX2 4ST
,BURNTHOUSE LANE,EX2 6BH
,OKEHAMPTON STREET,EX4 1DU
,CHURCH ROAD,EX2 9DP
,COFTON ROAD,EX2 8QW
146,MONKS ROAD,EX4 7BQ
4,WHITEFRIARS WALK,EX4 7BT
,BOVEMOORS LANE,EX2 5DS
,BOVEMOORS LANE,EX2 5DS
90,WONFORD STREET,EX2 5DF
14,HIGH STREET,EX2 9RN
,COLLETON MEWS,EX2 4AH
98,PENNSYLVANIA ROAD,EX4 6DQ
167,PINHOE ROAD,EX4 7HZ
17,PARIS STREET,EX1 2JB
14,WATERSIDE,EX2 8GU
47,WATERSIDE,EX2 8GX
2,POWDERHAM CRESCENT,EX4 6DA
29,POWLESLAND ROAD,EX2 8RS
,MAGDALEN STREET,EX2 4HY
22,BEDFORD STREET,EX1 1GD
,MOUNT RADFORD CRESCENT,EX2 4ER
,BARNFIELD CRESCENT,EX1 1QT
46,STOKE HILL,EX4 7DW
352,TOPSHAM ROAD,EX2 6HF
,MEADOW WAY,EX2 5GH
,COWICK STREET,EX4 1HP
,WILLEYS AVENUE,EX2 8EZ
37,HALDON ROAD,EX4 4DZ
,NEW NORTH ROAD,EX4 4JN
,ALPHIN BROOK ROAD,EX2 8QF
21,WEIRFIELD ROAD,EX2 4DN
,WAYSIDE CRESCENT,EX1 3LF
6,SYDNEY ROAD,EX2 9AJ
4,ST. JAMES ROAD,EX4 6PU
18,LANDSCORE ROAD,EX4 1EW
59,ROSELAND AVENUE,EX1 2TN
50,BAKER STREET,EX2 5EA
39,BOWHAY LANE,EX4 1PF
,ST. DAVIDS HILL,EX4 3RQ
,NEW NORTH ROAD,EX4 4HL
,SIDWELL STREET,EX4 6PH
4,RED COW VILLAGE,EX4 4AU
41,VICTORIA PARK ROAD,EX2 4NU
29,WIDECOMBE WAY,EX4 5BZ
,BARRACK ROAD,EX2 5EE
67,WOOLSERY AVENUE,EX4 8BR
,NEW NORTH ROAD,EX4 4PQ
,BONHAY ROAD,EX4 3BZ
,COMMERCIAL ROAD,EX2 4EE
4,LANSDOWNE TERRACE,EX2 4JJ
24,MARSH GREEN ROAD WEST,EX2 8PN
17,WATER LANE,EX2 8BY
,MINCINGLAKE ROAD,EX4 7EA
,SOUTHERNHAY GARDENS,EX1 1SG
,MOUNT DINHAM COURT,EX4 4FL
,SOUTH STREET,EX1 1EE
2,HEAVITREE PARK,EX1 3BP
30,PENNSYLVANIA ROAD,EX4 6BX
88,FORE STREET,EX4 3HX
30,WHITEWAY DRIVE,EX1 3AN
,FAIRPARK ROAD,EX2 4HL
,OLD MILL CLOSE,EX2 4DD
96,WONFORD STREET,EX2 5DF
15,RALEIGH ROAD,EX1 1TQ
,DENMARK ROAD,EX1 1SL
,NEW NORTH ROAD,EX4 4JN
30,POWLESLAND ROAD,EX2 8RS
68,POWLESLAND ROAD,EX2 8RS
51,QUEEN STREET,EX4 3SR
15,VUEFIELD HILL,EX2 9NW
10,WILLIAMS AVENUE,EX2 8BN
8,WOODBINE TERRACE,EX4 4LJ
35,WOODBURY VIEW,EX2 9JQ
,HAVEN ROAD,EX2 8GP
46,WILLEYS AVENUE,EX2 8EP
29,VICTORIA PARK ROAD,EX2 4NU
,BARRACK ROAD,EX2 5EE
,CHURCH ROAD,EX2 9AT
,EXE STREET,EX4 3HF
36,VELWELL ROAD,EX4 4LD
8,WHITEBEAM CLOSE,EX4 9JY
35,WATER LANE,EX2 8BY
38,WATER LANE,EX2 8BY
10,KINGDOM MEWS,EX4 4BU
,CORN MILL CRESCENT,EX2 8TP
274,PINHOE ROAD,EX4 7JQ
,WONFORD ROAD,EX2 4UD
33,RALEIGH ROAD,EX1 1TQ
,LOWER COOMBE STREET,EX1 1DX
18,HORSEGUARDS,EX4 4UY
46,LAVENDER ROAD,EX4 2PT
,WATER LANE,EX2 8BD
3,ROMAN WALK,EX1 1GP
,DIX'S FIELD,EX1 1GR
12,BISHOP WESTALL ROAD,EX2 6NH
,BISHOP WESTALL ROAD,EX2 6NJ
143,FORE STREET,EX4 3AN
,HEAVITREE ROAD,EX1 2LG
81,POLSLOE ROAD,EX1 2NF
,REGENTS PARK,EX1 2NY
,ALPHIN BROOK ROAD,EX2 8QF
4,SYLVAN ROAD,EX4 6EW
80,GREYFRIARS ROAD,EX4 7BS
16,VICTORIA STREET,EX4 6JQ
93,VICTORIA STREET,EX4 6JG
21,VUEFIELD HILL,EX2 9NW
20,WILLEYS AVENUE,EX2 8EP
,WATERGATE,EX2 4DE
3,WATERGATE,EX2 4DE
27,WOODAH ROAD,EX4 1ET
,SOUTHERNHAY EAST,EX1 1QD
4,MITRE LANE,EX4 3BB
,NORTHERNHAY STREET,EX4 3ER
1,HAVEN ROAD,EX2 8BP
28,WHIPTON LANE,EX1 3DS
181,PINHOE ROAD,EX4 7HZ
,PYNES HILL,EX2 5BA
10,WYNDHAM AVENUE,EX1 2PQ
,FARM HILL,EX4 2LR
,KINNERTON WAY,EX4 2EZ
10,LITTLE SILVER,EX4 4HU
54,LONGBROOK STREET,EX4 6AH
126,GRAS LAWN,EX2 4SA
2,CRAWFORD GARDENS,EX2 8HQ
66,POWLESLAND ROAD,EX2 8RS
,PRINCES SQUARE,EX2 9AN
3,HIGHER SUMMERLANDS,EX1 2LW
